valid_time,fxx,category,pod,tp,fn,n_obs
2026-03-21 15:00 UTC,1,Rain,0.6,6,4,10
2026-03-21 15:00 UTC,1,Snow,0.5556,5,4,9
2026-03-21 15:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,1,Rain,0.4286,6,8,14
2026-03-21 16:00 UTC,1,Snow,0.8,12,3,15
2026-03-21 16:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,1,Rain,0.3636,4,7,11
2026-03-21 17:00 UTC,1,Snow,0.8571,12,2,14
2026-03-21 17:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,1,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,1,Rain,0.125,2,14,16
2026-03-21 18:00 UTC,1,Snow,1.0,13,0,13
2026-03-21 18:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,1,Rain,0.3,3,7,10
2026-03-21 19:00 UTC,1,Snow,0.5833,7,5,12
2026-03-21 19:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,1,Rain,0.2308,3,10,13
2026-03-21 20:00 UTC,1,Snow,0.5714,4,3,7
2026-03-21 20:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,1,Rain,0.3,3,7,10
2026-03-21 21:00 UTC,1,Snow,0.4286,3,4,7
2026-03-21 21:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,1,Rain,0.4545,5,6,11
2026-03-21 22:00 UTC,1,Snow,0.8889,8,1,9
2026-03-21 22:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,1,Rain,0.0909,1,10,11
2026-03-21 23:00 UTC,1,Snow,0.9091,10,1,11
2026-03-21 23:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,1,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,1,Rain,0.4,4,6,10
2026-03-22 00:00 UTC,1,Snow,0.9231,12,1,13
2026-03-22 00:00 UTC,1,Freezing Rain,,0,0,0
2026-03-22 00:00 UTC,1,Ice Pellets,,0,0,0
2026-03-22 01:00 UTC,1,Rain,0.1818,2,9,11
2026-03-22 01:00 UTC,1,Snow,0.8,12,3,15
2026-03-22 01:00 UTC,1,Freezing Rain,,0,0,0
2026-03-22 01:00 UTC,1,Ice Pellets,,0,0,0
2026-03-22 02:00 UTC,1,Rain,0.5,7,7,14
2026-03-22 02:00 UTC,1,Snow,0.8182,9,2,11
2026-03-22 02:00 UTC,1,Freezing Rain,,0,0,0
2026-03-22 02:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 15:00 UTC,3,Rain,0.7,7,3,10
2026-03-21 15:00 UTC,3,Snow,0.3333,3,6,9
2026-03-21 15:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,3,Rain,0.5714,8,6,14
2026-03-21 16:00 UTC,3,Snow,0.6,9,6,15
2026-03-21 16:00 UTC,3,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,3,Rain,0.3636,4,7,11
2026-03-21 17:00 UTC,3,Snow,0.7857,11,3,14
2026-03-21 17:00 UTC,3,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,3,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,3,Rain,0.375,6,10,16
2026-03-21 18:00 UTC,3,Snow,0.8462,11,2,13
2026-03-21 18:00 UTC,3,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,3,Rain,0.2,2,8,10
2026-03-21 19:00 UTC,3,Snow,0.5833,7,5,12
2026-03-21 19:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,3,Rain,0.3077,4,9,13
2026-03-21 20:00 UTC,3,Snow,0.2857,2,5,7
2026-03-21 20:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,3,Rain,0.2,2,8,10
2026-03-21 21:00 UTC,3,Snow,0.2857,2,5,7
2026-03-21 21:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,3,Rain,0.1818,2,9,11
2026-03-21 22:00 UTC,3,Snow,0.4444,4,5,9
2026-03-21 22:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,3,Rain,0.0,0,11,11
2026-03-21 23:00 UTC,3,Snow,0.6364,7,4,11
2026-03-21 23:00 UTC,3,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,3,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,3,Rain,0.2,2,8,10
2026-03-22 00:00 UTC,3,Snow,0.6923,9,4,13
2026-03-22 00:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 00:00 UTC,3,Ice Pellets,,0,0,0
2026-03-22 01:00 UTC,3,Rain,0.1818,2,9,11
2026-03-22 01:00 UTC,3,Snow,0.8667,13,2,15
2026-03-22 01:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 01:00 UTC,3,Ice Pellets,,0,0,0
2026-03-22 02:00 UTC,3,Rain,0.3571,5,9,14
2026-03-22 02:00 UTC,3,Snow,0.8182,9,2,11
2026-03-22 02:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 02:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 15:00 UTC,6,Rain,0.5,5,5,10
2026-03-21 15:00 UTC,6,Snow,0.6667,6,3,9
2026-03-21 15:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,6,Rain,0.3571,5,9,14
2026-03-21 16:00 UTC,6,Snow,0.7333,11,4,15
2026-03-21 16:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,6,Rain,0.5455,6,5,11
2026-03-21 17:00 UTC,6,Snow,0.7143,10,4,14
2026-03-21 17:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,6,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,6,Rain,0.5625,9,7,16
2026-03-21 18:00 UTC,6,Snow,0.8462,11,2,13
2026-03-21 18:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,6,Rain,0.2,2,8,10
2026-03-21 19:00 UTC,6,Snow,0.5833,7,5,12
2026-03-21 19:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,6,Rain,0.3077,4,9,13
2026-03-21 20:00 UTC,6,Snow,0.2857,2,5,7
2026-03-21 20:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,6,Rain,0.4,4,6,10
2026-03-21 21:00 UTC,6,Snow,0.2857,2,5,7
2026-03-21 21:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,6,Rain,0.0909,1,10,11
2026-03-21 22:00 UTC,6,Snow,0.1111,1,8,9
2026-03-21 22:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,6,Rain,0.0,0,11,11
2026-03-21 23:00 UTC,6,Snow,0.1818,2,9,11
2026-03-21 23:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,6,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,6,Rain,0.2,2,8,10
2026-03-22 00:00 UTC,6,Snow,0.6923,9,4,13
2026-03-22 00:00 UTC,6,Freezing Rain,,0,0,0
2026-03-22 00:00 UTC,6,Ice Pellets,,0,0,0
2026-03-22 01:00 UTC,6,Rain,0.0909,1,10,11
2026-03-22 01:00 UTC,6,Snow,0.8667,13,2,15
2026-03-22 01:00 UTC,6,Freezing Rain,,0,0,0
2026-03-22 01:00 UTC,6,Ice Pellets,,0,0,0
2026-03-22 02:00 UTC,6,Rain,0.2857,4,10,14
2026-03-22 02:00 UTC,6,Snow,0.9091,10,1,11
2026-03-22 02:00 UTC,6,Freezing Rain,,0,0,0
2026-03-22 02:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 15:00 UTC,12,Rain,0.4,4,6,10
2026-03-21 15:00 UTC,12,Snow,0.2222,2,7,9
2026-03-21 15:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,12,Rain,0.4286,6,8,14
2026-03-21 16:00 UTC,12,Snow,0.4,6,9,15
2026-03-21 16:00 UTC,12,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,12,Rain,0.4545,5,6,11
2026-03-21 17:00 UTC,12,Snow,0.6429,9,5,14
2026-03-21 17:00 UTC,12,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,12,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,12,Rain,0.5625,9,7,16
2026-03-21 18:00 UTC,12,Snow,0.5385,7,6,13
2026-03-21 18:00 UTC,12,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,12,Rain,0.0,0,10,10
2026-03-21 19:00 UTC,12,Snow,0.5,6,6,12
2026-03-21 19:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,12,Rain,0.1538,2,11,13
2026-03-21 20:00 UTC,12,Snow,0.2857,2,5,7
2026-03-21 20:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,12,Rain,0.4,4,6,10
2026-03-21 21:00 UTC,12,Snow,0.2857,2,5,7
2026-03-21 21:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,12,Rain,0.0909,1,10,11
2026-03-21 22:00 UTC,12,Snow,0.1111,1,8,9
2026-03-21 22:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,12,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,12,Rain,0.0,0,11,11
2026-03-21 23:00 UTC,12,Snow,0.1818,2,9,11
2026-03-21 23:00 UTC,12,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,12,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,12,Rain,0.2,2,8,10
2026-03-22 00:00 UTC,12,Snow,0.6154,8,5,13
2026-03-22 00:00 UTC,12,Freezing Rain,,0,0,0
2026-03-22 00:00 UTC,12,Ice Pellets,,0,0,0
2026-03-22 01:00 UTC,12,Rain,0.1818,2,9,11
2026-03-22 01:00 UTC,12,Snow,0.8667,13,2,15
2026-03-22 01:00 UTC,12,Freezing Rain,,0,0,0
2026-03-22 01:00 UTC,12,Ice Pellets,,0,0,0
2026-03-22 02:00 UTC,12,Rain,0.1429,2,12,14
2026-03-22 02:00 UTC,12,Snow,0.9091,10,1,11
2026-03-22 02:00 UTC,12,Freezing Rain,,0,0,0
2026-03-22 02:00 UTC,12,Ice Pellets,,0,0,0
